	Continent								Region																								Country																																																																																																																																																																																																																														FAO																		TEXTE de distribution spatiale
SciName	Africa	Antarctica	Asia	Europe	North America	Oceania	South America	Subantarctica	Antarctica	Australia/New Zealand	Caribbean	Central Africa	Central America	Eastern Africa	Eastern Asia	Eastern Europe	Melanesia	Micronesia	Northern Africa	Northern America	Northern Europe	Polynesia	South America	Southeastern Asia	Southern Africa	Southern Asia	Southern Atlantic	Southern Europe	Southern Indian Ocean	Western Africa	Western Asia	Western Europe	Admiralty Is.	Alaska	Albania	Algeria	American Samoa	Andaman Is.	Angola	Anguilla	Antarctica	Antigua Barbuda	Argentina	Aruba	Ascension I.	Australia	Azores Is.	Bahamas	Bahrain	Bangladesh	Barbados	Belgium	Belize	Benin	Bermuda	Bosnia Herzegov.	Brazil	Brunei Darsm	Bulgaria	Cambodia	Cameroon	Canada	Canary Is.	Cape Verde	Cargados Carajos	Caroline I.	Cayman Is.	Chagos Is.	Channel Is.	Chile	China	Christmas I.	Clipperton I.	Cocos I. (C.R.)	Cocos Is. (Keel)	Colombia	Comoros	Congo	Congo Dem Rp	Cook Is.	Costa Rica	Cote d'Ivoire	Croatia	Crozet Is.	Cuba	Curaçao I.	Cyprus	Denmark	Desventuradas Is	Djibouti	Dominica	Dominican Rp	Easter I.	Ecuador	Egypt	El Salvador	Eq Guinea	Eritrea	Estonia	Faeroe Is.	Falkland Is.	Fiji	Finland	France	French Guiana	French Polynesia	Gabon	Galapagos Is.	Gambia	Georgia	Germany	Ghana	Gibraltar	Greece	Greenland	Grenada	Guadeloupe	Guam	Guatemala	Guinea	Guinea-Bissau	Guyana	Haiti	Hawaii	Heard McDon Is.	Honduras	Hong Kong	Iceland	India	Indonesia	Iran	Iraq	Ireland	Isle of Man	Israel	Italy	Jamaica	Japan	Jordan	Juan Fernández	Kenya	Kerguelen Is.	Kermadec Is.	Kiribati	Korea (North)	Korea (South)	Kuril Is.	Kuwait	Latvia	Lebanon	Liberia	Libya	Lithuania	Lord Howe I.	Madagascar	Madeira Is.	Malaysia	Maldives	Malta	Marshall Is.	Martinique	Mauritania	Mauritius	Mexico	Micronesia	Midway Is.	Monaco	Montenegro	Montserrat	Morocco	Mozambique	Myanmar	Namibia	Neth Antilles	Netherlands	New Caledonia	New Zealand	Nicaragua	Nigeria	Niue	Norfolk I.	North Marianas	Norway	Ogasawara Is.	Oman	Pakistan	Palau	Panama	Papua New Guinea	Peru	Philippines	Pitcairn	Poland	Portugal	Prince Edward Is	Puerto Rico	Qatar	Réunion	Revillagigedo	Romania	Russia	Ryukyu Is.	S. Georg. Sandw.	Samoa	Sao Tome Princ.	Saudi Arabia	Senegal	Serbia	Seychelles	Sierra Leone	Singapore	Slovenia	Socotra Arch.	Solomon Is.	Somalia	South Africa	Spain	Sri Lanka	St Helena	St Kitts Nevis	St Lucia	St Vincent Gren.	Sudan	Suriname	Svalbard	Sweden	Syria	Taiwan	Tanzania	Thailand	Timor-Leste	Togo	Tonga	Trind. M.Vaz Is.	Trinidad Tobago	Tuamotu Is.	Tunisia	Turkey	Turks Caicos Is.	UK	UK Engld Wal	UK No Ireld	UK Scotland	Ukraine	United Arab Em.	Uruguay	USA	Vanuatu	Venezuela	Viet Nam	Virgin Is. (UK)	Virgin Is. (US)	West Sahara	Yemen	Arctic Ocean	Atlantic, Antarctic	Atlantic, Eastern Central	Atlantic, Northeast	Atlantic, Northwest	Atlantic, Southeast	Atlantic, Southwest	Atlantic, Western Central	Indian Ocean, Antarctic	Indian Ocean, Eastern	Indian Ocean, Western	Mediterranean and Black Sea	Pacific, Eastern Central	Pacific, Northeast	Pacific, Northwest	Pacific, Southeast	Pacific, Southwest	Pacific, Western Central	
Acanthopsetta nadeshnyi			X	X											X	X																																																																																																																										X							X	X																																																							X																																																																				X				Northwest Pacific:  Sea of Okhotsk to Japan and Korea (Ref. 559).  Also occurs in the Bering Sea, 54°-66°N (Ref. 265).
Achiroides leucorhynchos			X																					X																																																																																																										X																																																																																																																																														X	Asia:  Thailand to Indonesia.
Achiroides melanorhynchus			X																					X																																																																																																										X																											X																																																						X																																																													X	Asia:  Cambodia and Thailand to Indonesia.
Achiropsetta tricholepis						X	X	X		X													X				X		X														X																																									X																	X																																									X																																			X																																																																					X															X		X								X		Southwest Atlantic:  off Patagonia, the Falklands and the Burdwood Bank.  Also reported from the Ob Bank, Kerguelen Islands, Crozet Islands, and the Campbell Plateau.
Achirus achirus					X		X				X												X																																		X																																																X																	X																																																																																																						X											X														X												X	X											Western Central Atlantic:  from the Gulf of Paria to the mouth of the Amazon river.
Achirus declivis					X		X				X		X										X																														X				X																								X																																				X																				X																																																											X																												X											X																										X	X											Western Atlantic:  Belize to Santa Catarina, Brazil; also Trinidad, Jamaica, St. Barthélemy, and Suriname.
Achirus klunzingeri					X		X						X										X																																																					X					X													X		X																																																																				X																								X		X																																																																													X			X			Eastern Central Pacific:  From central Mexico to northern Peru.
Achirus lineatus					X		X				X		X							X			X																				X	X									X				X																			X									X	X																			X																	X															X																											X														X																		X																												X											X											X	X		X												X	X								X			Western Atlantic:  Florida, USA and northern Gulf of Mexico to northern Argentina.
